tweet_favorite_count,tweet_retweet_count,tweet_media_urls/0,tweet_view_count,tweet_text,user_location,user_handle,tweet_created_at,id,Hashtags
1,0,https://pbs.twimg.com/ext_tw_video_thumb/1771248635172245504/pu/img/9F850dx9RZlGR8Jb.jpg,78,"Let's start 
#IPL https://t.co/mVsL5iCZGX",,gkash77,Fri Mar 22 18:52:43 +0000 2024,tweet-1771248659088203912,IPL
10,2,https://pbs.twimg.com/ext_tw_video_thumb/1771386206548303872/pu/img/aV2fSNVOqRB_nPjP.jpg,558,"One of Shikhar Dhawan's 4 #IPL wickets, Shaun Marsh. 
His IPL bowling average of 16.5 is better than Bumrah, Bravo, Malinga, Bhuvneshwar and Chawla. https://t.co/AgTCMEZbXW",India,lilbrownykid,Sat Mar 23 03:59:22 +0000 2024,tweet-1771386228593844323,IPL
21,2,https://pbs.twimg.com/ext_tw_video_thumb/1771267537956659251/pu/img/XAS-AgeQX7jJW3sR.jpg,1255,"Virat &amp; Dhoni smiles and hugs after the match yesterday 😄🥰

#IPL2024 #IPL #TATAIPL #CSKvRCB #RCBvsCSK #CSKvsRCB

https://t.co/fFX3IE0lty",,tctv1offl,Sat Mar 23 01:33:30 +0000 2024,tweet-1771349521068368167,"IPL2024,IPL,TATAIPL,CSKvRCB,RCBvsCSK,CSKvsRCB"
2,0,https://pbs.twimg.com/ext_tw_video_thumb/1771378711993917440/pu/img/njBK75AWzb9PEohP.jpg,262,"WTF   #Russell 😂 😂 😂 @ShaneRWatson33 Shocks 😭😭

#IPL
#IPL2024 https://t.co/ESkju7DzBQ","Nizamabad, Telangana ",SagarNaniJSPK,Sat Mar 23 03:29:43 +0000 2024,tweet-1771378765618172239,"Russell,IPL,IPL2024"
5,2,https://pbs.twimg.com/media/EfeVEUVXYAAp7KV.png,411,"THE MSD RUN OUT - On this day in 2016 💥✨

#IPL2024 #IPL #TATAIPL #CSKvRCB #RCBvsCSK #CSKvsRCB

https://t.co/n25R831nNW",,tctv1offl,Sat Mar 23 03:30:07 +0000 2024,tweet-1771378870333104300,"IPL2024,IPL,TATAIPL,CSKvRCB,RCBvsCSK,CSKvsRCB"
4,0,https://pbs.twimg.com/amplify_video_thumb/1771375025876074501/img/oeuUXJoAJoqsTy5u.jpg,811,#IPL 2024 Started in Style with Fireworks. Crowd Roaring #CSK #CSK before the game started https://t.co/o4yggDzWmp,India,sathishmsk,Sat Mar 23 03:15:20 +0000 2024,tweet-1771375149113332000,"IPL,CSK,CSK"
3,0,https://pbs.twimg.com/media/GJUuFxbWkAAqe-l.jpg,272,"Dinesh Karthik Tweet After the loss against CSK.🔥💛❤️

#DineshKarthik #ViratKohli #CSK #RCB #CSKvRCB #CSKvsRCB #IPL #IPL2024 https://t.co/2BkffLGGBs","Dubai, United Arab Emirates",irishabhparmar,Sat Mar 23 03:05:41 +0000 2024,tweet-1771372718631334240,"DineshKarthik,ViratKohli,CSK,RCB,CSKvRCB,CSKvsRCB,IPL,IPL2024"
1,0,https://pbs.twimg.com/ext_tw_video_thumb/1771364098237714432/pu/img/2RqSgZDDpeUH-hkG.jpg,98,"#IPLWithLT: Others are captains of individual teams, while Rohit Sharma captains the entire IPL. Eventually, he will need to select players from the IPL to represent in the T20 World Cup, Suresh Raina said.

Watch 📽️

#IPL #IPL2024 #RohitSharma #SureshRaina https://t.co/Jw3yPYnw1T","Mumbai, India",lokmattimeseng,Sat Mar 23 02:31:52 +0000 2024,tweet-1771364209437360370,"IPLWithLT,IPL,IPL2024,RohitSharma,SureshRaina"
33,3,https://pbs.twimg.com/media/GJUvi0ZW8AACpPi.jpg,5762,"Genius Ajinkya Rahane on the field last night clash of CSK vs RCB.🔥💛

#AjinkyaRahane #RachinRavindra #MSDhoni #RuturajGaikwad #CSK #ChennaiSuperKings #CSKvRCB #CSKvsRCB #IPL #IPL2024 https://t.co/GgMV8ZrC2W","Dubai, United Arab Emirates",irishabhparmar,Sat Mar 23 03:12:06 +0000 2024,tweet-1771374332750766300,"AjinkyaRahane,RachinRavindra,MSDhoni,RuturajGaikwad,CSK,ChennaiSuperKings,CSKvRCB,CSKvsRCB,IPL,IPL2024"
4,0,https://pbs.twimg.com/media/GJS6uQLWIAA0XqA.jpg,336,"Ruturaj &amp; CSK start off with a win 💥
They defeat RCB by 6 wickets💪

#Heroes #CSKvRCB #IPL https://t.co/UJrWKH2T68",,ICHOfficial,Fri Mar 22 18:41:38 +0000 2024,tweet-1771245870140232172,"Heroes,CSKvRCB,IPL"
2,0,https://pbs.twimg.com/media/GJU2UAzXYAAM6ya.jpg,176,"Rishabh Pant has done a lot of hard work now we are watching the results!!

The dedication level 🫡

#DCvsPBKS #PBKSvsDC #IPL https://t.co/n9NofkbwsC","Noida, India",CricLoverShanky,Sat Mar 23 03:41:36 +0000 2024,tweet-1771381758329807152,"DCvsPBKS,PBKSvsDC,IPL"
411,13,https://pbs.twimg.com/media/GJTFzxNXAAATy6t.jpg,6849,"That's the spirit! ✊🏻

#DineshKarthik #RCB #Cricket #IPL #Sportskeeda https://t.co/rhOG5dTKCd",,Sportskeeda,Fri Mar 22 19:30:02 +0000 2024,tweet-1771258049627369645,"DineshKarthik,RCB,Cricket,IPL,Sportskeeda"
