match_name,franchise,label,sponsor_name,sponsor_asset_type,sponsor_asset_location,sponsor_asset_visibility,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_partially_visible,AllSeasons,jersey,sleeve_logo_partially,visible,0.114655249,694.4292603,351.4985962,765.2573853,394.7572021
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_partially_visible,AllSeasons,jersey,sleeve_logo_partially,visible,0.10493128,765.4423828,307.5658569,832.9936523,346.3529663
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_blurry,KentMineralRO,jersey,chest_logo,blurry,0.778904319,1075.447388,220.9404907,1135.067261,259.5617065
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_blurry,Dream11,jersey,chest_logo,blurry,0.555044532,530.3768921,238.3355103,636.8457642,273.4815674
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_blurry,Dream11,jersey,chest_logo,blurry,0.461435318,637.4713745,241.7036743,721.9776001,281.4806519
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,BKT_jersey_back_logo_partially_visible,BKT,jersey,back_logo_partially,visible,0.399174005,348.9054565,183.2621002,443.0814819,218.8184967
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_blurry,KentMineralRO,jersey,chest_logo,blurry,0.353049546,640.2845459,214.3055725,685.6123047,246.1936646
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,EcoLink_cap_logo_clear,EcoLink,cap,logo,clear,0.334210753,1199.736328,223.3400574,1274.165039,268.7607727
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.184293941,1034.252441,243.3803101,1073.579102,279.2504272
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_clear,Dream11,jersey,chest_logo,clear,0.175815806,527.8728027,237.3742065,638.4040527,282.9738159
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_partially_visible,KentMineralRO,jersey,chest_logo_partially,visible,0.157811388,638.6673584,213.797821,686.1617432,246.5445862
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,DPWorld_jersey_back_logo_clear,DPWorld,jersey,back_logo,clear,0.110598296,348.8626709,180.4046936,442.3813477,217.2409363
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_blurry,Dream11,jersey,chest_logo,blurry,0.108341694,1073.726563,246.4539795,1157.12207,288.8790283
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.917353928,613.6533203,299.5426636,771.5528564,363.4592896
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_partially_visible,Dream11,jersey,chest_logo_partially,visible,0.772889793,321.254364,338.1635742,450.7312927,394.9287109
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Jio_jersey_shoulder_logo_clear,Jio,jersey,shoulder_logo,clear,0.364459157,54.77348328,304.665802,112.9642792,361.4606628
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_blurry,Dream11,jersey,chest_logo,blurry,0.24193354,317.0465698,340.1867065,452.3241577,393.6154785
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,BKT_jersey_back_logo_partially_visible,BKT,jersey,back_logo_partially,visible,0.160655811,1101.304688,299.7702026,1234.960938,362.1780396
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,kshema_trousers_logo_blurry,kshema,trousers,logo,blurry,0.155732259,918.8917236,419.9229736,971.137085,463.5278931
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_clear,KentMineralRO,jersey,chest_logo,clear,0.615037441,681.1811523,236.1932678,747.2392578,276.9946594
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_partially_visible,KentMineralRO,jersey,chest_logo_partially,visible,0.28287977,682.9550781,231.282959,747.2287598,277.6860352
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,DPWorld_jersey_back_logo_clear,DPWorld,jersey,back_logo,clear,0.152661696,460.668335,222.7915344,610.2993164,290.1369934
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_chest_logo_clear,AllSeasons,jersey,chest_logo,clear,0.106516659,680.7869873,433.0488281,765.163208,490.0440674
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.882055521,890.5684814,324.4137268,937.4483643,363.4359436
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.638334155,558.9334717,308.8463745,610.7718506,348.1638794
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.605916321,889.3780518,303.1491089,950.3707275,362.3126221
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.337992847,972.020874,299.0662231,1017.645508,348.7799072
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.262130678,893.4450684,294.0846558,956.076416,337.706604
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,GMR_jersey_sleeve_logo_partially_visible,GMR,jersey,sleeve_logo_partially,visible,0.194652155,569.184082,284.6033936,628.4265137,321.9812012
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.180912629,564.2783203,286.0251465,628.5063477,321.5880127
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_blurry,AllSeasons,jersey,sleeve_logo,blurry,0.143441424,894.2421875,292.8287354,958.4047852,338.7686768
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_clear,AvonCycles,trousers,logo,clear,0.789936244,742.9689941,680.9598999,868.7487793,789.0530396
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_partially_visible,Dream11,jersey,chest_logo_partially,visible,0.366904706,519.7592163,421.7442627,728.2453003,572.0461426
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_partially_visible,AvonCycles,trousers,logo_partially,visible,0.231008202,732.5963745,683.7949219,871.6652222,794.5209961
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.142269716,812.7365723,110.9084778,906.2226563,198.7545471
