match_name,franchise,,label,sponsor_name,sponsor_asset_type,sponsor_asset_location,sponsor_asset_visibility,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.139424294,521.6159668,649.0621338,661.534668,764.7196045
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,motorola_trousers_logo_partially_visible,motorola,trousers,logo,partially_visible,0.125689611,360.192627,706.0942993,499.8845215,790.9043579
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,HeroFincorp_jersey_chest_logo_partially_visible,HeroFincorp,jersey,chest_logo,partially_visible,0.298141629,837.4790039,332.2786865,950.2331543,389.4428711
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,HeroFincorp_jersey_chest_logo_clear,HeroFincorp,jersey,chest_logo,clear,0.180163711,840.788208,333.3384399,955.4393311,386.6032715
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,kshema_trousers_logo_blurry,kshema,trousers,logo,blurry,0.261580259,1097.118774,460.9897461,1152.155151,495.4453125
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,RayzonSolar_trousers_logo_clear,RayzonSolar,trousers,logo,clear,0.257690251,566.5015869,526.2680664,627.6976318,570.0429688
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_clear,Jio,jersey,shoulder_logo,clear,0.158703074,34.73606873,455.069519,84.70205688,500.1382446
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Valvoline_jersey_sleeve_logo_clear,Valvoline,jersey,sleeve_logo,clear,0.107069299,826.9676514,36.08164597,977.6744385,136.6394501
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.869209766,478.0464172,543.1608887,575.9814453,601.8820801
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Jio_jersey_shoulder_logo_blurry,Jio,jersey,shoulder_logo,blurry,0.151787981,576.5661621,343.0339355,622.6811523,387.2384033
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,AllSeasons_jersey_sleeve_logo_clear,AllSeasons,jersey,sleeve_logo,clear,0.181531146,829.0754395,368.9007263,977.5905762,450.7386169
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.118081152,821.2296143,435.7790527,962.5172119,537.3155518
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.809357762,869.2615967,358.6311035,944.0323486,436.8336792
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Jio_jersey_shoulder_logo_clear,Jio,jersey,shoulder_logo,clear,0.129256472,868.8139648,356.839325,941.4035645,435.3700867
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.833520293,586.572998,429.0435791,700.4180908,500.4555054
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.417721421,580.1715088,254.2530518,636.9090576,309.180542
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.524538338,700.848877,685.8445435,832.3359375,760.4575806
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,AstralPipes_jersey_shoulder_logo_partially_visible,AstralPipes,jersey,shoulder_logo,partially_visible,0.108972639,279.8677979,339.3796387,368.7930908,403.237793
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.230923489,364.2213745,308.9777832,490.4755249,375.9454346
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,KentMineralRO_jersey_chest_logo_clear,KentMineralRO,jersey,chest_logo,clear,0.153700829,361.5391846,313.9066772,490.4397583,377.4087524
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.284615427,474.303772,230.2796478,562.4470825,271.414917
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,HeroFincorp_jersey_chest_logo_clear,HeroFincorp,jersey,chest_logo,clear,0.181011423,469.3169556,265.51297,629.9107056,324.6896057
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.162621707,514.0250854,410.9839478,565.6801147,456.6952515
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Dream11_jersey_chest_logo_clear,Dream11,jersey,chest_logo,clear,0.130795226,475.2733765,268.9039001,632.2554321,329.2331238
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.332881778,486.9702148,218.7565918,663.6016846,319.3439331
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.178848863,580.541748,705.46875,705.4335938,766.6103516
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,AvonCycles_trousers_logo_clear,AvonCycles,trousers,logo,clear,0.124176905,208.2589111,726.1783447,372.7686768,824.9822998
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,KentMineralRO_jersey_chest_logo_partially_visible,KentMineralRO,jersey,chest_logo,partially_visible,0.123356238,428.4870605,263.4740601,563.7068481,342.4677124
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.518358767,765.1148682,674.1522217,891.84021,744.7689209
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Dream11_jersey_chest_logo_clear,Dream11,jersey,chest_logo,clear,0.160427809,638.1335449,317.8255005,833.4907227,433.9801636
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,kshema_trousers_logo_obstructed,kshema,trousers,logo,obstructed,0.131970093,515.9464111,726.6611328,632.7484131,796.8251953
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Dream11_jersey_chest_logo_clear,Dream11,jersey,chest_logo,clear,0.123045944,431.6741943,435.2590332,617.9406738,490.9639282
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,KentMineralRO_jersey_chest_logo_clear,KentMineralRO,jersey,chest_logo,clear,0.104253039,616.4830322,283.8123779,722.8758545,338.9119873
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.126669705,627.7229004,385.2615967,717.8503418,488.0756836
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,DPWorld_jersey_back_logo_clear,DPWorld,jersey,back_logo,clear,0.504080713,926.4875488,152.3665466,1021.937866,200.9156189
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,DPWorld_jersey_back_logo_clear,DPWorld,jersey,back_logo,clear,0.296722889,126.5572586,163.6004944,221.7608643,220.204834
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,BKT_jersey_back_logo_blurry,BKT,jersey,back_logo,blurry,0.105867654,924.6759033,153.3233643,1019.42749,200.7634583
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Encalm_trousers_logo_partially_visible,Encalm,trousers,logo,partially_visible,0.23995775,402.660675,365.6952515,473.0758362,420.5014648
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_partially_visible,motorola,trousers,logo,partially_visible,0.19854039,456.9558105,404.6082764,554.2426147,466.5587158
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.179549381,535.7702637,229.4776611,594.8076172,295.9777832
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.148419991,331.9437256,336.1001587,552.7285156,456.6068726
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,KentMineralRO_jersey_chest_logo_clear,KentMineralRO,jersey,chest_logo,clear,0.117524058,312.7390137,297.7032166,443.9553223,357.750946
