MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
Match 60 DC VS GT,Delhi Capitals,543.36,0.0755307,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,546.24,0.0717229,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,549.12,0.07337402,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,553.44,0.07319573,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,557.28,0.07469655,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,563.04,0.07645834,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,566.88,0.075466484,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,571.2,0.07597773,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,574.56,0.0770034,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,578.4,0.076053426,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,581.76,0.12790443,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,585.6,0.14328958,"All Seasons, HeroFincorp"
Match 60 DC VS GT,Delhi Capitals,589.92,0.14439279,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,594.72,0.14608203,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,597.12,0.14315191,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,600.48,0.14708763,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,603.84,0.14650092,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,607.2,0.069543675,No DC Sponsor Detected
