MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
Match 60 DC VS GT,GUJRAT TITANS,446.4,0.074632935,"LivPure, RayzonSolar"
Match 60 DC VS GT,GUJRAT TITANS,449.76,0.07583345,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,454.08,0.07617091,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,456.48,0.07488484,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,458.88,0.07407768,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,463.2,0.07621263,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,467.04,0.076001,"Dream11, AstralPipes, SimpoloCeramics"
Match 60 DC VS GT,GUJRAT TITANS,471.36,0.07638399,LivPure
Match 60 DC VS GT,GUJRAT TITANS,474.24,0.07606517,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,476.64,0.07036244,"Jio, Acko, Dream11"
Match 60 DC VS GT,GUJRAT TITANS,481.92,0.07537079,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,484.32,0.0768726,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,487.68,0.07495789,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,490.08,0.07676521,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,493.44,0.07509968,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,495.84,0.07538647,"Jio, Acko, LivPure"
Match 60 DC VS GT,GUJRAT TITANS,498.24,0.076697305,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,504,0.0756944,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,509.28,0.0766662,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,513.6,0.07631541,NO GT SPONSOR DETECTED
